index,Job Title,Avg Salary (K),Lower Salary (K),Upper Salary (K),Entry Level,Degree,Job Location (State),Company Name,Founded,Industry,Sector,Rating,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Location,ZIP Codes,Size,Revenue,Job Title (Full)
0,Data Scientist,72.0,53,91,na,MSc,NM,Tecolote Research,1973,Aerospace & Defense,Aerospace & Defense,3.8,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Albuquerque,,501 - 1000,$50 to $100 million (USD),Data Scientist
1,Data Scientist,87.5,63,112,na,MSc,MD,University of Maryland Medical System,1984,Health Care Services & Hospitals,Health Care,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linthicum,,10000+,$2 to $5 billion (USD),Healthcare Data Scientist
2,Data Scientist,85.0,80,90,na,MSc,FL,KnowBe4,2010,Security Services,Business Services,4.8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Clearwater,,501 - 1000,$100 to $500 million (USD),Data Scientist
3,Data Scientist,76.5,56,97,na,na,WA,PNNL,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist
4,Data Scientist,114.5,86,143,na,na,NY,Affinity Solutions,1998,Advertising & Marketing,Business Services,2.9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,New York,,51 - 200,Unknown / Non-Applicable,Data Scientist
5,Data Scientist,95.0,71,119,na,na,TX,CyrusOne,2000,Real Estate,Real Estate,3.4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Dallas,,201 - 500,$1 to $2 billion (USD),Data Scientist
6,Data Scientist,73.5,54,93,na,na,MD,ClearOne Advantage,2008,Banks & Credit Unions,Finance,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore,,501 - 1000,Unknown / Non-Applicable,Data Scientist
7,Data Scientist,114.0,86,142,na,MSc,CA,Logic20/20,2005,Consulting,Business Services,3.8,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,San Jose,,201 - 500,$25 to $50 million (USD),Data Scientist
8,Other Scientist,61.0,38,84,na,Phd,NY,Rochester Regional Health,2014,Health Care Services & Hospitals,Health Care,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rochester,,10000+,$500 million to $1 billion (USD),Research Scientist
9,Data Scientist,140.0,120,160,na,na,NY,<intent>,2009,Internet,Information Technology,4.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,,51 - 200,$100 to $500 million (USD),Data Scientist
10,Data Scientist,163.5,126,201,na,na,CA,Wish,2011,Other Retail Stores,Retail,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Jose,,501 - 1000,$1 to $2 billion (USD),Data Scientist
11,Data Scientist,85.0,64,106,na,na,VA,ManTech,1968,Research & Development,Business Services,4.1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Chantilly,,5001 - 10000,$1 to $2 billion (USD),Data Scientist
12,Data Scientist,139.0,106,172,na,MSc,TX,Walmart,1962,"Department, Clothing, & Shoe Stores",Retail,3.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Plano,,10000+,$10+ billion (USD),Staff Data Scientist - Technology
13,Data Analyst,65.5,46,85,na,na,WA,Yesler,2012,Advertising & Marketing,Business Services,4.1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,Seattle,,201 - 500,Unknown / Non-Applicable,Data Analyst
14,Data Scientist,113.5,83,144,na,MSc,MA,Takeda Pharmaceuticals,1781,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.7,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Data Scientist
15,Data Engineer,146.0,102,190,na,na,NJ,Audible,1995,Motion Picture Production & Distribution,Media,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Newark,,1001 - 5000,Unknown / Non-Applicable,Data Engineer I
16,Other Scientist,102.0,67,137,na,Phd,MA,Blueprint Medicines,2011,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,51 - 200,$1 to $5 million (USD),"Scientist I/II, Biology"
17,Data Scientist,153.5,118,189,na,MSc,CA,h2o.ai,2011,Enterprise Software & Network Solutions,Information Technology,4.3,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Mountain View,,201 - 500,Unknown / Non-Applicable,Customer Data Scientist
18,Data Scientist,142.5,110,175,na,na,CA,Nuna,2010,Enterprise Software & Network Solutions,Information Technology,4.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,Unknown / Non-Applicable,Data Scientist - Health Data Analytics
19,Data Scientist,87.5,64,111,na,MSc,CO,Pinnacol Assurance,1915,Insurance Carriers,Insurance,4.0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,Denver,,501 - 1000,$500 million to $1 billion (USD),Data Scientist
20,Data Scientist,105.5,81,130,na,MSc,WA,Porch,2012,Internet,Information Technology,3.2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Seattle,,201 - 500,Unknown / Non-Applicable,Data Scientist
21,Data Scientist,96.0,73,119,Senior,Phd,TX,Health IQ,2013,Insurance Agencies & Brokerages,Insurance,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Dallas,,201 - 500,Unknown / Non-Applicable,Senior Data Scientist / Machine Learning
22,Data Scientist,112.5,86,139,na,MSc,IL,Truckstop.com,1995,Logistics & Supply Chain,Transportation & Logistics,3.8,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,Chicago,,501 - 1000,Unknown / Non-Applicable,Data Scientist - Quantitative
23,Data Scientist,84.0,63,105,na,MSc,KY,SMC 3,1935,Logistics & Supply Chain,Transportation & Logistics,4.3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,Louisville,,51 - 200,$10 to $25 million (USD),Data Scientist
25,Data Scientist,143.0,109,177,na,na,VA,Novetta,2012,Enterprise Software & Network Solutions,Information Technology,4.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Herndon,,501 - 1000,$100 to $500 million (USD),Data Scientist
26,Data Scientist,86.5,63,110,na,na,MA,Pfizer,1849,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Digital Health Data Scientist
27,Data Scientist,99.5,75,124,na,na,OR,First Tech Federal Credit Union,1952,Banks & Credit Unions,Finance,3.5,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,Hillsboro,,1001 - 5000,$100 to $500 million (USD),Data Scientist
28,Data Analyst,47.5,34,61,na,na,MA,The Hanover Insurance Group,1852,Insurance Carriers,Insurance,3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Worcester,,5001 - 10000,$5 to $10 billion (USD),Associate Data Analyst
29,Data Scientist,84.0,63,105,na,MSc,CT,Pfizer,1849,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Groton,,10000+,$10+ billion (USD),Clinical Data Scientist
30,Data Scientist,85.0,80,90,na,MSc,FL,KnowBe4,2010,Security Services,Business Services,4.8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Clearwater,,501 - 1000,$100 to $500 million (USD),Data Scientist
31,Data Scientist,76.5,56,97,na,na,WA,PNNL,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist
32,Data Scientist,96.0,72,120,na,MSc,MI,Amrock,1997,Real Estate,Real Estate,3.6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Detroit,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist
33,Data Scientist,114.5,86,143,na,na,MA,Novartis,1996,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Cambridge,,10000+,$10+ billion (USD),Data Scientist / Machine Learning Expert
34,Data Scientist,121.0,93,149,na,MSc,CA,Juniper Networks,1996,Telecommunications Services,Telecommunications,3.8,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,Sunnyvale,,5001 - 10000,$2 to $5 billion (USD),Data Scientist
35,Data Scientist,112.5,85,140,na,na,MA,New England Biolabs,1974,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,4.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ipswich,,201 - 500,Unknown / Non-Applicable,Data Scientist
36,Data Analyst,106.0,77,135,na,na,CA,Clarity Insights,2008,IT Services,Information Technology,4.2,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,San Jose,,201 - 500,Unknown / Non-Applicable,Web Data Analyst
37,Data Scientist,107.0,82,132,na,MSc,CA,Esri,1969,Computer Hardware & Software,Information Technology,3.5,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Redlands,,1001 - 5000,$1 to $2 billion (USD),Data Scientist
38,Data Scientist,110.0,83,137,na,Phd,MA,Systems & Technology Research,2010,Aerospace & Defense,Aerospace & Defense,4.7,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,Woburn,,201 - 500,$100 to $500 million (USD),Data Scientist
39,Data Scientist,147.5,115,180,Senior,MSc,CA,Sartorius,1870,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fremont,,5001 - 10000,$1 to $2 billion (USD),Senior Data Scientist
40,Data Engineer,106.0,74,138,na,MSc,NY,Lancer Insurance,1985,Insurance Carriers,Insurance,3.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Long Beach,,201 - 500,$100 to $500 million (USD),Data Engineer
41,Data Analyst,88.0,64,112,na,na,CA,Sauce Labs,2008,IT Services,Information Technology,4.2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,San Francisco,,201 - 500,$50 to $100 million (USD),Data Analyst
43,Data Engineer,98.5,68,129,na,na,MA,Persivia,na,na,na,3.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Marlborough,,1 - 50,Less than $1 million (USD),Data Engineer
44,Data Scientist,142.5,110,175,na,MSc,CA,Nuna,2010,Enterprise Software & Network Solutions,Information Technology,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Francisco,,51 - 200,Unknown / Non-Applicable,Data Scientist - Algorithms & Inference
45,Other Scientist,82.5,52,113,na,MSc,NJ,Edgewell Personal Care,2015,Consumer Products Manufacturing,Manufacturing,3.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Allendale,,5001 - 10000,$2 to $5 billion (USD),Scientist
46,Data Scientist,130.0,110,150,Senior,MSc,IL,Equity Residential,1993,Real Estate,Real Estate,4.3,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,Chicago,,1001 - 5000,$2 to $5 billion (USD),Senior Data Scientist
48,Data Scientist,155.0,150,160,na,na,DC,BPA Services,na,Enterprise Software & Network Solutions,Information Technology,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Washington,,unknown,Unknown / Non-Applicable,Data Scientist
