,index,Job Title,Avg Salary (K),Lower Salary (K),Upper Salary (K),Entry Level,Degree,Job Location (State),Company Name,Founded,Industry,Sector,Rating,Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Location,ZIP Codes,Size,Revenue,Job Title (Full),fips
0,0,Data Scientist,72.0,53,91,na,MSc,NM,Tecolote Research,1973,Aerospace & Defense,Aerospace & Defense,3.8,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Albuquerque,,501 - 1000,$50 to $100 million (USD),Data Scientist,35001
1,1,Data Scientist,87.5,63,112,na,MSc,MD,University of Maryland Medical System,1984,Health Care Services & Hospitals,Health Care,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Linthicum,,10000+,$2 to $5 billion (USD),Healthcare Data Scientist,24003
2,2,Data Scientist,85.0,80,90,na,MSc,FL,KnowBe4,2010,Security Services,Business Services,4.8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Clearwater,,501 - 1000,$100 to $500 million (USD),Data Scientist,12103
3,3,Data Scientist,76.5,56,97,na,na,WA,PNNL,1965,Energy,"Oil, Gas, Energy & Utilities",3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richland,,1001 - 5000,$500 million to $1 billion (USD),Data Scientist,53005
4,4,Data Scientist,114.5,86,143,na,na,NY,Affinity Solutions,1998,Advertising & Marketing,Business Services,2.9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,New York,,51 - 200,Unknown / Non-Applicable,Data Scientist,36061
5,5,Data Scientist,95.0,71,119,na,na,TX,CyrusOne,2000,Real Estate,Real Estate,3.4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,Dallas,,201 - 500,$1 to $2 billion (USD),Data Scientist,48113
6,6,Data Scientist,73.5,54,93,na,na,MD,ClearOne Advantage,2008,Banks & Credit Unions,Finance,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Baltimore,,501 - 1000,Unknown / Non-Applicable,Data Scientist,24510
7,7,Data Scientist,114.0,86,142,na,MSc,CA,Logic20/20,2005,Consulting,Business Services,3.8,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,San Jose,,201 - 500,$25 to $50 million (USD),Data Scientist,06085
8,8,Other Scientist,61.0,38,84,na,Phd,NY,Rochester Regional Health,2014,Health Care Services & Hospitals,Health Care,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rochester,,10000+,$500 million to $1 billion (USD),Research Scientist,36055
9,9,Data Scientist,140.0,120,160,na,na,NY,<intent>,2009,Internet,Information Technology,4.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,,51 - 200,$100 to $500 million (USD),Data Scientist,36061
10,10,Data Scientist,163.5,126,201,na,na,CA,Wish,2011,Other Retail Stores,Retail,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Jose,,501 - 1000,$1 to $2 billion (USD),Data Scientist,06085
